"2016-01-01",2016,1,1,"2016","1","Enero","Ene","January","Jan","1",20160101,"20160101",6,"Viernes","V","Vie","Fr","Friday","Jan",53,1,"1erTrimestre","1T","1Q","2016-01-02",2016,1,2,"2016","1","Enero","Ene","January","Jan","2",20160102,"20160102"
"2016-01-02",2016,1,2,"2016","1","Enero","Ene","January","Jan","2",20160102,"20160102",7,"Sabado","S","Sab","Sa","Saturday","Jan",53,1,"1erTrimestre","1T","1Q","2016-01-02",2016,1,2,"2016","1","Enero","Ene","January","Jan","2",20160102,"20160102"
"2016-01-03",2016,1,3,"2016","1","Enero","Ene","January","Jan","3",20160103,"20160103",1,"Domingo","D","Dom","Su","Sunday","Jan",53,1,"1erTrimestre","1T","1Q","2016-01-09",2016,1,9,"2016","1","Enero","Ene","January","Jan","9",20160109,"20160109"
"2016-01-04",2016,1,4,"2016","1","Enero","Ene","January","Jan","4",20160104,"20160104",2,"Lunes","L","Lun","Mo","Monday","Jan",1,1,"1erTrimestre","1T","1Q","2016-01-09",2016,1,9,"2016","1","Enero","Ene","January","Jan","9",20160109,"20160109"
"2016-01-05",2016,1,5,"2016","1","Enero","Ene","January","Jan","5",20160105,"20160105",3,"Martes","M","Mar","Tu","Tuesday","Jan",1,1,"1erTrimestre","1T","1Q","2016-01-09",2016,1,9,"2016","1","Enero","Ene","January","Jan","9",20160109,"20160109"
"2016-01-06",2016,1,6,"2016","1","Enero","Ene","January","Jan","6",20160106,"20160106",4,"Miercoles","X","Mie","We","Wednesday","Jan",1,1,"1erTrimestre","1T","1Q","2016-01-09",2016,1,9,"2016","1","Enero","Ene","January","Jan","9",20160109,"20160109"
"2016-01-07",2016,1,7,"2016","1","Enero","Ene","January","Jan","7",20160107,"20160107",5,"Jueves","J","Jue","Th","Thursday","Jan",1,1,"1erTrimestre","1T","1Q","2016-01-09",2016,1,9,"2016","1","Enero","Ene","January","Jan","9",20160109,"20160109"
"2016-01-08",2016,1,8,"2016","1","Enero","Ene","January","Jan","8",20160108,"20160108",6,"Viernes","V","Vie","Fr","Friday","Jan",1,1,"1erTrimestre","1T","1Q","2016-01-09",2016,1,9,"2016","1","Enero","Ene","January","Jan","9",20160109,"20160109"
"2016-01-09",2016,1,9,"2016","1","Enero","Ene","January","Jan","9",20160109,"20160109",7,"Sabado","S","Sab","Sa","Saturday","Jan",1,1,"1erTrimestre","1T","1Q","2016-01-09",2016,1,9,"2016","1","Enero","Ene","January","Jan","9",20160109,"20160109"
"2016-01-10",2016,1,10,"2016","1","Enero","Ene","January","Jan","10",20160110,"20160110",1,"Domingo","D","Dom","Su","Sunday","Jan",1,1,"1erTrimestre","1T","1Q","2016-01-16",2016,1,16,"2016","1","Enero","Ene","January","Jan","16",20160116,"20160116"
"2016-01-11",2016,1,11,"2016","1","Enero","Ene","January","Jan","11",20160111,"20160111",2,"Lunes","L","Lun","Mo","Monday","Jan",2,1,"1erTrimestre","1T","1Q","2016-01-16",2016,1,16,"2016","1","Enero","Ene","January","Jan","16",20160116,"20160116"
"2016-01-12",2016,1,12,"2016","1","Enero","Ene","January","Jan","12",20160112,"20160112",3,"Martes","M","Mar","Tu","Tuesday","Jan",2,1,"1erTrimestre","1T","1Q","2016-01-16",2016,1,16,"2016","1","Enero","Ene","January","Jan","16",20160116,"20160116"
"2016-01-13",2016,1,13,"2016","1","Enero","Ene","January","Jan","13",20160113,"20160113",4,"Miercoles","X","Mie","We","Wednesday","Jan",2,1,"1erTrimestre","1T","1Q","2016-01-16",2016,1,16,"2016","1","Enero","Ene","January","Jan","16",20160116,"20160116"
"2016-01-14",2016,1,14,"2016","1","Enero","Ene","January","Jan","14",20160114,"20160114",5,"Jueves","J","Jue","Th","Thursday","Jan",2,1,"1erTrimestre","1T","1Q","2016-01-16",2016,1,16,"2016","1","Enero","Ene","January","Jan","16",20160116,"20160116"
"2016-01-15",2016,1,15,"2016","1","Enero","Ene","January","Jan","15",20160115,"20160115",6,"Viernes","V","Vie","Fr","Friday","Jan",2,1,"1erTrimestre","1T","1Q","2016-01-16",2016,1,16,"2016","1","Enero","Ene","January","Jan","16",20160116,"20160116"
"2016-01-16",2016,1,16,"2016","1","Enero","Ene","January","Jan","16",20160116,"20160116",7,"Sabado","S","Sab","Sa","Saturday","Jan",2,1,"1erTrimestre","1T","1Q","2016-01-16",2016,1,16,"2016","1","Enero","Ene","January","Jan","16",20160116,"20160116"
"2016-01-17",2016,1,17,"2016","1","Enero","Ene","January","Jan","17",20160117,"20160117",1,"Domingo","D","Dom","Su","Sunday","Jan",2,1,"1erTrimestre","1T","1Q","2016-01-23",2016,1,23,"2016","1","Enero","Ene","January","Jan","23",20160123,"20160123"
"2016-01-18",2016,1,18,"2016","1","Enero","Ene","January","Jan","18",20160118,"20160118",2,"Lunes","L","Lun","Mo","Monday","Jan",3,1,"1erTrimestre","1T","1Q","2016-01-23",2016,1,23,"2016","1","Enero","Ene","January","Jan","23",20160123,"20160123"
"2016-01-19",2016,1,19,"2016","1","Enero","Ene","January","Jan","19",20160119,"20160119",3,"Martes","M","Mar","Tu","Tuesday","Jan",3,1,"1erTrimestre","1T","1Q","2016-01-23",2016,1,23,"2016","1","Enero","Ene","January","Jan","23",20160123,"20160123"
"2016-01-20",2016,1,20,"2016","1","Enero","Ene","January","Jan","20",20160120,"20160120",4,"Miercoles","X","Mie","We","Wednesday","Jan",3,1,"1erTrimestre","1T","1Q","2016-01-23",2016,1,23,"2016","1","Enero","Ene","January","Jan","23",20160123,"20160123"
"2016-01-21",2016,1,21,"2016","1","Enero","Ene","January","Jan","21",20160121,"20160121",5,"Jueves","J","Jue","Th","Thursday","Jan",3,1,"1erTrimestre","1T","1Q","2016-01-23",2016,1,23,"2016","1","Enero","Ene","January","Jan","23",20160123,"20160123"
"2016-01-22",2016,1,22,"2016","1","Enero","Ene","January","Jan","22",20160122,"20160122",6,"Viernes","V","Vie","Fr","Friday","Jan",3,1,"1erTrimestre","1T","1Q","2016-01-23",2016,1,23,"2016","1","Enero","Ene","January","Jan","23",20160123,"20160123"
"2016-01-23",2016,1,23,"2016","1","Enero","Ene","January","Jan","23",20160123,"20160123",7,"Sabado","S","Sab","Sa","Saturday","Jan",3,1,"1erTrimestre","1T","1Q","2016-01-23",2016,1,23,"2016","1","Enero","Ene","January","Jan","23",20160123,"20160123"
"2016-01-24",2016,1,24,"2016","1","Enero","Ene","January","Jan","24",20160124,"20160124",1,"Domingo","D","Dom","Su","Sunday","Jan",3,1,"1erTrimestre","1T","1Q","2016-01-30",2016,1,30,"2016","1","Enero","Ene","January","Jan","30",20160130,"20160130"
"2016-01-25",2016,1,25,"2016","1","Enero","Ene","January","Jan","25",20160125,"20160125",2,"Lunes","L","Lun","Mo","Monday","Jan",4,1,"1erTrimestre","1T","1Q","2016-01-30",2016,1,30,"2016","1","Enero","Ene","January","Jan","30",20160130,"20160130"
"2016-01-26",2016,1,26,"2016","1","Enero","Ene","January","Jan","26",20160126,"20160126",3,"Martes","M","Mar","Tu","Tuesday","Jan",4,1,"1erTrimestre","1T","1Q","2016-01-30",2016,1,30,"2016","1","Enero","Ene","January","Jan","30",20160130,"20160130"
"2016-01-27",2016,1,27,"2016","1","Enero","Ene","January","Jan","27",20160127,"20160127",4,"Miercoles","X","Mie","We","Wednesday","Jan",4,1,"1erTrimestre","1T","1Q","2016-01-30",2016,1,30,"2016","1","Enero","Ene","January","Jan","30",20160130,"20160130"
"2016-01-28",2016,1,28,"2016","1","Enero","Ene","January","Jan","28",20160128,"20160128",5,"Jueves","J","Jue","Th","Thursday","Jan",4,1,"1erTrimestre","1T","1Q","2016-01-30",2016,1,30,"2016","1","Enero","Ene","January","Jan","30",20160130,"20160130"
"2016-01-29",2016,1,29,"2016","1","Enero","Ene","January","Jan","29",20160129,"20160129",6,"Viernes","V","Vie","Fr","Friday","Jan",4,1,"1erTrimestre","1T","1Q","2016-01-30",2016,1,30,"2016","1","Enero","Ene","January","Jan","30",20160130,"20160130"
"2016-01-30",2016,1,30,"2016","1","Enero","Ene","January","Jan","30",20160130,"20160130",7,"Sabado","S","Sab","Sa","Saturday","Jan",4,1,"1erTrimestre","1T","1Q","2016-01-30",2016,1,30,"2016","1","Enero","Ene","January","Jan","30",20160130,"20160130"
"2016-01-31",2016,1,31,"2016","1","Enero","Ene","January","Jan","31",20160131,"20160131",1,"Domingo","D","Dom","Su","Sunday","Jan",4,1,"1erTrimestre","1T","1Q","2016-02-06",2016,2,6,"2016","2","Febrero","Feb","February","Feb","6",20160206,"20160206"
"2016-02-01",2016,2,1,"2016","2","Febrero","Feb","February","Feb","1",20160201,"20160201",2,"Lunes","L","Lun","Mo","Monday","Feb",5,1,"1erTrimestre","1T","1Q","2016-02-06",2016,2,6,"2016","2","Febrero","Feb","February","Feb","6",20160206,"20160206"
"2016-02-02",2016,2,2,"2016","2","Febrero","Feb","February","Feb","2",20160202,"20160202",3,"Martes","M","Mar","Tu","Tuesday","Feb",5,1,"1erTrimestre","1T","1Q","2016-02-06",2016,2,6,"2016","2","Febrero","Feb","February","Feb","6",20160206,"20160206"
"2016-02-03",2016,2,3,"2016","2","Febrero","Feb","February","Feb","3",20160203,"20160203",4,"Miercoles","X","Mie","We","Wednesday","Feb",5,1,"1erTrimestre","1T","1Q","2016-02-06",2016,2,6,"2016","2","Febrero","Feb","February","Feb","6",20160206,"20160206"
"2016-02-04",2016,2,4,"2016","2","Febrero","Feb","February","Feb","4",20160204,"20160204",5,"Jueves","J","Jue","Th","Thursday","Feb",5,1,"1erTrimestre","1T","1Q","2016-02-06",2016,2,6,"2016","2","Febrero","Feb","February","Feb","6",20160206,"20160206"
